time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/learning_rate,train/approx_kl,train/loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range
3,566,2048,3.560552838235294,30.0,1,,,,,,,,,,
3,1166,4096,5.187143730000002,30.0,2,0.0003,0.009802873,16.040578842163086,0.0318359375,0.0006405115127563477,-0.0049738459551008415,10,-2.192557564377785,30.69378241598606,0.2
3,1734,6144,1.34365663,30.0,3,0.0003,0.0058451174,20.86440086364746,0.011328125,0.18406039476394653,-0.0020021848104079254,20,-2.1870968960225583,48.691272342205046,0.2
3,2266,8192,3.9450624900000006,30.0,4,0.0003,0.008182414,2.843675374984741,0.0693359375,0.5601862668991089,-0.0073878289433196185,30,-2.184504970908165,5.1537770420312885,0.2
3,2754,10240,5.05613666,30.0,5,0.0003,0.009710368,21.250015258789062,0.077294921875,0.13391584157943726,-0.010016223424463533,40,-2.160194615274668,52.560504758358,0.2
3,3251,12288,5.742673279999999,30.0,6,0.0003,0.014236262,11.307683944702148,0.126416015625,0.3608313798904419,-0.008696850459091365,50,-2.1362422235310077,24.455490512400864,0.2
3,3749,14336,10.81069458,30.0,7,0.0003,0.005223613,44.6309700012207,0.0181640625,0.30174094438552856,-0.003604850759438705,60,-2.123788533359766,48.64680405706167,0.2
3,4239,16384,9.590917099999999,30.0,8,0.0003,0.009674268,92.41607666015625,0.01875,0.2735024690628052,-0.003827119502238929,70,-2.0997418060898783,93.39664502739906,0.2
3,4793,18432,13.012678689999998,30.0,9,0.0003,0.005291758,14.92427921295166,0.039013671875,0.5220898687839508,-0.004162767430534587,80,-2.0658438600599767,59.17971544265747,0.2
3,5414,20480,11.941913649999998,30.0,10,0.0003,0.0036952074,42.47174835205078,0.001611328125,0.5939703583717346,-0.0014123102882876992,90,-2.074642796814442,83.9402778506279,0.2
3,6036,22528,12.88741483,30.0,11,0.0003,0.009043582,33.46242141723633,0.037109375,0.6521813571453094,-0.005227353253576439,100,-2.0312777139246463,60.6193582624197,0.2
3,6656,24576,16.53397079,30.0,12,0.0003,0.009341017,21.32561683654785,0.039453125,0.7111310958862305,-0.006275512019055895,110,-2.0122532662004233,58.62760770320892,0.2
3,7442,26624,15.134220860000001,30.0,13,0.0003,0.0061722677,42.774681091308594,0.018505859375,0.7069968283176422,-0.002600342716323212,120,-2.0267882991582153,75.59544469714164,0.2
3,7972,28672,6.645625319999999,30.0,14,0.0003,0.004379413,256.92718505859375,0.011376953125,0.35522007942199707,-0.0016842037002788857,130,-1.9955233238637446,227.30747431516647,0.2
3,8478,30720,8.845620679999998,30.0,15,0.0003,0.006885973,11.33084487915039,0.058447265625,0.8026917725801468,-0.00616088233073242,140,-1.9339709620922805,22.830150040984154,0.2
3,8941,32768,7.440274820000001,30.0,16,0.0003,0.0039810706,17.01287841796875,0.01298828125,0.412577748298645,-0.002054229727946222,150,-1.967808562889695,204.61097071766852,0.2
3,9401,34816,1.5522627,30.0,17,0.0003,0.023305506,1.1336181163787842,0.20146484375,0.9461367391049862,-0.009566442490904593,160,-1.9030971359461546,3.0883242107927797,0.2
3,9861,36864,1.8225059900000002,30.0,18,0.0003,0.02111724,1.3004258871078491,0.15185546875,0.954849474132061,-0.010220776696223765,170,-1.842384259402752,2.4533973060548306,0.2
3,10318,38912,2.27541345,30.0,19,0.0003,0.014013775,0.6304378509521484,0.09453125,0.9405817650258541,-0.004985339008271694,180,-1.8115768108516932,2.2921077808365227,0.2
3,10793,40960,3.19543975,30.0,20,0.0003,0.013460301,1.1840837001800537,0.115869140625,0.9252481013536453,-0.009025458930409513,190,-1.692164558544755,2.4194210309535267,0.2
