kernel,matrix_size,block_size,threads_per_block,reg_cap,est_regs,actual_regs,theor_occ,time_ms_mean,time_ms_std,time_ms_min,time_ms_max
reduction,256,256,256,default,19,14,1.0,0.0508586655681332,0.050230535598387735,0.013311999849975109,0.12185599654912949
reduction,256,256,256,32,19,14,1.0,0.10367999970912933,0.008973400097885588,0.09190399944782257,0.11366400122642517
reduction,256,256,256,64,19,14,1.0,0.12151466806729634,0.018495104914935317,0.10035199671983719,0.1454080045223236
reduction,512,64,64,default,16,14,0.6666666666666666,0.14574933052062988,0.02510134426303989,0.1157120019197464,0.17715199291706085
reduction,512,64,64,32,16,14,0.6666666666666666,0.13926399995883307,0.08593469229320226,0.02457600086927414,0.2314240038394928
reduction,512,64,64,64,16,14,0.6666666666666666,0.12561066697041193,0.02055382245153825,0.10956799983978271,0.15462400019168854
reduction,512,128,128,default,17,14,1.0,0.37614932656288147,0.3186163246512133,0.13516800105571747,0.826367974281311
reduction,512,128,128,32,17,14,1.0,0.1232213353117307,0.014295308667154281,0.11161600053310394,0.14336000382900238
reduction,512,128,128,64,17,14,1.0,0.1300479993224144,0.019482929454371755,0.11059200018644333,0.15667200088500977
reduction,512,256,256,default,19,14,1.0,0.09966933416823547,0.0518264970607788,0.027648000046610832,0.14745600521564484
reduction,512,256,256,32,19,14,1.0,0.046101332952578865,0.023200643310361323,0.02969600073993206,0.07891199737787247
reduction,512,256,256,64,19,14,1.0,0.11161599804957707,0.008485411685264666,0.10239999741315842,0.1228799968957901
reduction,1024,64,64,default,16,14,0.6666666666666666,0.17988266795873642,0.056113791048778755,0.10239999741315842,0.23347200453281403
reduction,1024,64,64,32,16,14,0.6666666666666666,0.31539199749628705,0.16381439353226895,0.19046400487422943,0.5468159914016724
reduction,1024,64,64,64,16,14,0.6666666666666666,0.23825066785017648,0.0844467228671171,0.16383999586105347,0.3563520014286041
reduction,1024,128,128,default,17,14,1.0,0.2792106568813324,0.0627756424261208,0.21094399690628052,0.3624959886074066
reduction,1024,128,128,32,17,14,1.0,0.19319466749827066,0.03208170464452726,0.16281600296497345,0.23756800591945648
reduction,1024,128,128,64,17,14,1.0,0.20889600118001303,0.021102019337613565,0.1802240014076233,0.2303999960422516
reduction,1024,256,256,default,19,14,1.0,0.20445866386095682,0.027759443228348262,0.18432000279426575,0.24371199309825897
reduction,1024,256,256,32,19,14,1.0,0.1737386683622996,0.006758051978674793,0.16486400365829468,0.1812479943037033
reduction,1024,256,256,64,19,14,1.0,0.1986240049203237,0.024667426470562005,0.1719360053539276,0.2314240038394928
softmax,256,64,64,default,27,33,0.6666666666666666,0.23167999585469565,0.038275650409708026,0.20163199305534363,0.28569599986076355
softmax,256,64,64,32,27,32,0.6666666666666666,0.23784533639748892,0.023830952136252047,0.2088959962129593,0.2672640085220337
softmax,256,64,64,64,27,33,0.6666666666666666,0.29525332897901535,0.19190888092149735,0.12390399724245071,0.5631999969482422
softmax,256,128,128,default,29,33,1.0,0.25360000133514404,0.012675092167408355,0.2396160066127777,0.27030399441719055
softmax,256,128,128,32,29,32,1.0,0.14950400590896606,0.005792620712488765,0.14131200313568115,0.15360000729560852
softmax,256,128,128,64,29,33,1.0,0.13073066622018814,0.017384559561609683,0.10649599879980087,0.14643199741840363
softmax,256,256,256,default,33,33,1.0,0.16520532965660095,0.010750649056795332,0.15564799308776855,0.1802240014076233
softmax,256,256,256,32,33,32,1.0,0.14745600521564484,0.05189838508109278,0.07475200295448303,0.19251200556755066
softmax,256,256,256,64,33,33,1.0,0.17817600071430206,0.012485522087555441,0.1669120043516159,0.1955839991569519
softmax,512,64,64,default,27,33,0.6666666666666666,0.4522239963213603,0.021769279145327454,0.4270080029964447,0.4801279902458191
softmax,512,64,64,32,27,32,0.6666666666666666,0.4607253273328145,0.06084790636462787,0.37785598635673523,0.5222399830818176
softmax,512,64,64,64,27,33,0.6666666666666666,0.46148266394933063,0.017404657216923372,0.44441598653793335,0.4853760004043579
softmax,512,128,128,default,29,33,1.0,0.3412480056285858,0.03229458267829518,0.30182400345802307,0.38092800974845886
softmax,512,128,128,32,29,32,1.0,0.30984533329804737,0.1347997110937063,0.21401600539684296,0.5004799962043762
softmax,512,128,128,64,29,33,1.0,0.3054933349291484,0.007902433802153334,0.2979840040206909,0.3164159953594208
softmax,512,256,256,default,33,33,1.0,0.36898133158683777,0.05913445439192809,0.3266560137271881,0.45260798931121826
softmax,512,256,256,32,33,32,1.0,0.46215466658274335,0.012533565954709563,0.44950398802757263,0.4792320132255554
