episode_id,episode_seed,step,kernel,matrix_size,block_size,reg_cap,time_ms,baseline_ms,speedup,reward,cupti_ok,cupti_reason,cupti_achieved_occupancy_norm,cupti_l2_hit_rate_norm,cupti_dram_bw_pct_norm,cupti_sm_active_pct_norm,nvml_gpu_util_norm,nvml_mem_util_norm,nvml_mem_used_frac,nvml_temp_norm
0,0,0,gemm,256,128,32,0.2256896048784256,0.20254720151424407,0.8974591524645192,-0.10254084753548076,True,ok,0.8615000247955322,0.9241999983787537,0.023499999195337296,0.9236000180244446,0.029999999329447746,0.0,0.1370868682861328,0.6000000238418579
0,0,1,gemm,256,128,32,0.19967999756336213,0.20254720151424407,1.0143589943202604,0.014358994320260443,True,ok,0.8600999712944031,0.9100000262260437,0.02329999953508377,0.9266999959945679,0.019999999552965164,0.0,0.1375751495361328,0.6100000143051147
0,0,2,gemm,256,64,32,0.21831679940223694,0.20254720151424407,0.9277673640728937,-0.07223263592710627,True,ok,0.6080999970436096,0.9445000290870667,0.01889999955892563,0.8655999898910522,0.0,0.0,0.1370868682861328,0.6100000143051147
0,0,3,gemm,256,256,64,0.21237760186195373,0.20254720151424407,0.9537126313626074,-0.04628736863739258,True,ok,0.7423999905586243,0.9187999963760376,0.02239999920129776,0.920799970626831,0.0,0.0,0.1370868682861328,0.6100000143051147
0,0,4,gemm,256,256,64,0.3000319957733154,0.20254720151424407,0.675085338789252,-0.32491466121074797,True,ok,0.7422999739646912,0.940500020980835,0.022700000554323196,0.9193000197410583,0.019999999552965164,0.0,0.1370868682861328,0.6100000143051147
0,0,5,gemm,256,256,0,0.19435520172119142,0.20254720151424407,1.0421496297526647,0.042149629752664675,True,ok,0.8592000007629395,0.8989999890327454,0.02250000089406967,0.9251000285148621,0.009999999776482582,0.0,0.1375751495361328,0.6100000143051147
0,0,6,gemm,256,64,64,0.23470079898834229,0.20254720151424407,0.8630017553723995,-0.13699824462760046,True,ok,0.6093999743461609,0.945900022983551,0.01889999955892563,0.8598999977111816,0.0,0.0,0.1370868682861328,0.6200000047683716
0,0,7,gemm,256,256,64,0.19824639856815338,0.20254720151424407,1.0216942298934735,0.02169422989347347,True,ok,0.7404999732971191,0.9241999983787537,0.02250000089406967,0.9179999828338623,0.0,0.0,0.1370868682861328,0.6200000047683716
0,0,8,gemm,256,64,0,0.2615295946598053,0.20254720151424407,0.7744714389884447,-0.22552856101155527,True,ok,0.609000027179718,0.949400007724762,0.01860000006854534,0.8604999780654907,0.009999999776482582,0.0,0.1370868682861328,0.6200000047683716
0,0,9,gemm,256,256,0,0.2168832004070282,0.20254720151424407,0.93389991080047,-0.06610008919953003,True,ok,0.8589000105857849,0.9106000065803528,0.042500000447034836,0.9214000105857849,0.18000000715255737,0.0,0.1367816925048828,0.6200000047683716
